DestinationID,Name,City,State/UT,Type,Tags,Popularity,RatingCount,BestTimeToVisit,WeatherSummary,Latitude,Longitude,EntryFee,AverageCost,RecommendedDuration,Activities,Accessibility,NearestAirport,NearestRailwayStation,Description,DestinationImage,Hotel1_Name,Hotel1_Link,Hotel1_Price,Hotel2_Name,Hotel2_Link,Hotel2_Price,Hotel3_Name,Hotel3_Link,Hotel3_Price,Hotel4_Name,Hotel4_Link,Hotel4_Price
5177,Meerut Water Falls,Meerut,Uttar Pradesh,Waterfall,"historical, scenic, family-friendly, adventure, nature, offbeat, weekend getaway",7.32,231228,Year-round,Moderate 18-32°C,25.7667,76.0104,50,4771,2-3 days,"Trekking, Swimming, Photography",Partial wheelchair,Lucknow (LKO),Meerut Junction,Scenic waterfall location perfect for tourists,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/The_Golden_Temple_of_Amrith.jpg/1024px-The_Golden_Temple_of_Amrith.jpg,Boutique Hotel Crown,https://www.google.com/search?q=Boutique+Hotel+Crown+Meerut+hotel+booking,1875,Palace Hotel Grand,https://www.google.com/search?q=Palace+Hotel+Grand+Meerut+hotel+booking,2406,Marriott Meerut,https://www.google.com/search?q=Marriott+Meerut+Meerut+hotel+booking,4334,Hotel Royal,https://www.google.com/search?q=Hotel+Royal+Meerut+hotel+booking,6573
5178,Grand Faridabad III,Faridabad,Haryana,Heritage,"adventure, nature, peaceful, scenic",6.8,255264,Oct-Mar,Warm 20-35°C,28.995,77.9481,0,3299,Half day,"Photography, Guided tour, Cultural shows",Full wheelchair access,Faridabad (FAR),Faridabad Junction,Scenic heritage location perfect for tourists,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Varanasi_-_Dashashwamedh_Ghat.jpg/1024px-Varanasi_-_Dashashwamedh_Ghat.jpg,Palace Hotel Palace,https://www.google.com/search?q=Palace+Hotel+Palace+Faridabad+hotel+booking,1303,Taj Faridabad,https://www.google.com/search?q=Taj+Faridabad+Faridabad+hotel+booking,2518,Marriott Faridabad,https://www.google.com/search?q=Marriott+Faridabad+Faridabad+hotel+booking,3865,Boutique Hotel Lake View,https://www.google.com/search?q=Boutique+Hotel+Lake+View+Faridabad+hotel+booking,6443
5179,Magnetic Hill Ancient Cave,Magnetic Hill,Ladakh,Cave,"scenic, offbeat, historical, weekend getaway, peaceful, cultural, spiritual, popular",8.78,350315,Oct-Mar,Cold 0-15°C,34.0644,76.6261,1000,6243,1-2 days,"Photography, Cave exploration, Rock climbing",Limited wheelchair,Magnetic Hill (MAG),Magnetic Hill Junction,Famous cave destination with rich heritage,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Badami_Cave_Temples.jpg/1024px-Badami_Cave_Temples.jpg,Oberoi Magnetic Hill,https://www.google.com/search?q=Oberoi+Magnetic+Hill+Magnetic+Hill+hotel+booking,1641,Hotel Royal,https://www.google.com/search?q=Hotel+Royal+Magnetic+Hill+hotel+booking,2879,Treebo Magnetic Hill,https://www.google.com/search?q=Treebo+Magnetic+Hill+Magnetic+Hill+hotel+booking,3851,OYO Magnetic Hill,https://www.google.com/search?q=OYO+Magnetic+Hill+Magnetic+Hill+hotel+booking,6838
5180,Chandigarh I,Chandigarh,Punjab,Garden,"peaceful, adventure, spiritual, nature, cultural, weekend getaway, scenic",9.62,274049,Nov-Feb,Moderate 18-32°C,31.5185,75.0933,750,2272,1-2 hrs,"Picnic, Nature walk, Leisure",Not wheelchair accessible,Amritsar (ATQ),Chandigarh Junction,Scenic garden location perfect for tourists,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Tea_gardens_Munnar_Kerala.jpg/1024px-Tea_gardens_Munnar_Kerala.jpg,Radisson Chandigarh,https://www.google.com/search?q=Radisson+Chandigarh+Chandigarh+hotel+booking,1929,Hotel Lake View,https://www.google.com/search?q=Hotel+Lake+View+Chandigarh+hotel+booking,2964,Oberoi Chandigarh,https://www.google.com/search?q=Oberoi+Chandigarh+Chandigarh+hotel+booking,3740,Inn Grand,https://www.google.com/search?q=Inn+Grand+Chandigarh+hotel+booking,6205
5181,Ziro Trek Point,Ziro,Arunachal Pradesh,Adventure,"family-friendly, scenic, offbeat, weekend getaway, cultural, spiritual",6.61,60606,Oct-Mar,Warm 20-35°C,21.9975,76.2787,20,2063,Half day,"Paragliding, Camping, Trekking",Not wheelchair accessible,Ziro (ZIR),Ziro Junction,Must-visit adventure spot in Arunachal Pradesh,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Roopkund_Trek_Uttarakhand.jpg/800px-Roopkund_Trek_Uttarakhand.jpg,Taj Ziro,https://www.google.com/search?q=Taj+Ziro+Ziro+hotel+booking,1963,Boutique Hotel Crown,https://www.google.com/search?q=Boutique+Hotel+Crown+Ziro+hotel+booking,2776,Hotel Crown,https://www.google.com/search?q=Hotel+Crown+Ziro+hotel+booking,4390,Taj Ziro,https://www.google.com/search?q=Taj+Ziro+Ziro+hotel+booking,6795
5182,Bokaro II,Bokaro,Jharkhand,Heritage,"weekend getaway, adventure, spiritual, peaceful",7.62,394969,Year-round,Pleasant 15-30°C,21.885,77.2284,750,4134,2-3 hrs,"Cultural shows, Guided tour, Photography",Partial wheelchair,Bokaro (BOK),Bokaro Junction,Popular heritage attraction offering great experiences,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Manali_Himachal_Pradesh.jpg/1024px-Manali_Himachal_Pradesh.jpg,Boutique Hotel Bokaro,https://www.google.com/search?q=Boutique+Hotel+Bokaro+Bokaro+hotel+booking,1889,Lodge Palace,https://www.google.com/search?q=Lodge+Palace+Bokaro+hotel+booking,2305,Taj Bokaro,https://www.google.com/search?q=Taj+Bokaro+Bokaro+hotel+booking,4317,Hyatt Bokaro,https://www.google.com/search?q=Hyatt+Bokaro+Bokaro+hotel+booking,6405
5183,Dalhousie Cave Complex,Dalhousie,Himachal Pradesh,Cave,"offbeat, family-friendly, scenic, spiritual, historical, popular",8.87,75141,Mar-Jun,Cold 0-15°C,33.4742,77.6877,300,5347,2-3 days,"Cave exploration, Rock climbing, Photography",Not wheelchair accessible,Dalhousie (DAL),Dalhousie Junction,Famous cave destination with rich heritage,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Badami_Cave_Temples.jpg/1024px-Badami_Cave_Temples.jpg,Heritage Hotel Crown,https://www.google.com/search?q=Heritage+Hotel+Crown+Dalhousie+hotel+booking,1342,Resort Heritage,https://www.google.com/search?q=Resort+Heritage+Dalhousie+hotel+booking,2534,Radisson Dalhousie,https://www.google.com/search?q=Radisson+Dalhousie+Dalhousie+hotel+booking,3868,Inn Dalhousie,https://www.google.com/search?q=Inn+Dalhousie+Dalhousie+hotel+booking,6994
5184,Serchhip Monument,Serchhip,Mizoram,Heritage,"popular, historical, weekend getaway, photography, nature, family-friendly",6.19,280516,Oct-Mar,Humid 25-35°C,22.5383,91.9843,50,6739,Half day,"Cultural shows, Guided tour, Photography",Limited wheelchair,Serchhip (SER),Serchhip Junction,Popular heritage attraction offering great experiences,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mysore_Palace_Morning.jpg/1024px-Mysore_Palace_Morning.jpg,Hyatt Serchhip,https://www.google.com/search?q=Hyatt+Serchhip+Serchhip+hotel+booking,1213,Lodge Lake View,https://www.google.com/search?q=Lodge+Lake+View+Serchhip+hotel+booking,2400,Resort Serchhip,https://www.google.com/search?q=Resort+Serchhip+Serchhip+hotel+booking,4081,Heritage Hotel Crown,https://www.google.com/search?q=Heritage+Hotel+Crown+Serchhip+hotel+booking,6516
5185,Shri Leh Marine Beach,Leh,Jammu and Kashmir,Beach,"scenic, offbeat, historical, peaceful, nature, cultural, photography, weekend getaway",9.38,353191,May-Oct,Chilly -5 to 15°C,31.8905,78.4824,500,7046,1-2 days,"Sunset viewing, Swimming, Beach volleyball",Full wheelchair access,Leh (LEH),Leh Junction,Must-visit beach spot in Jammu and Kashmir,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Varkala_cliff_Kerala.jpg/1024px-Varkala_cliff_Kerala.jpg,Marriott Leh,https://www.google.com/search?q=Marriott+Leh+Leh+hotel+booking,1726,Lodge Crown,https://www.google.com/search?q=Lodge+Crown+Leh+hotel+booking,2964,Boutique Hotel Palace,https://www.google.com/search?q=Boutique+Hotel+Palace+Leh+hotel+booking,4125,Hotel Heritage,https://www.google.com/search?q=Hotel+Heritage+Leh+hotel+booking,6283
5186,New Udaipur,Udaipur,Tripura,Museum,"historical, spiritual, photography, scenic, offbeat, cultural",6.45,10871,Sep-May,Humid 25-35°C,23.1491,93.1628,150,7422,4-5 hrs,"Educational visit, Exhibitions, Photography",Full wheelchair access,Udaipur (UDA),Udaipur Junction,Scenic museum location perfect for tourists,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mysore_Palace_Morning.jpg/1024px-Mysore_Palace_Morning.jpg,Palace Hotel Udaipur,https://www.google.com/search?q=Palace+Hotel+Udaipur+Udaipur+hotel+booking,1963,Lemon Tree Udaipur,https://www.google.com/search?q=Lemon+Tree+Udaipur+Udaipur+hotel+booking,2428,Treebo Udaipur,https://www.google.com/search?q=Treebo+Udaipur+Udaipur+hotel+booking,3904,Resort Imperial,https://www.google.com/search?q=Resort+Imperial+Udaipur+hotel+booking,6692
5187,Raja Karnal Cave Complex,Karnal,Haryana,Cave,"spiritual, weekend getaway, adventure, historical, scenic, photography, nature, popular",8.39,316631,Nov-Feb,Pleasant 15-30°C,32.1172,78.7299,50,2926,4-5 hrs,"Rock climbing, Photography, Cave exploration",Full wheelchair access,Karnal (KAR),Karnal Junction,Must-visit cave spot in Haryana,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Ajanta_cave26.jpg/1024px-Ajanta_cave26.jpg,Inn Palace,https://www.google.com/search?q=Inn+Palace+Karnal+hotel+booking,1612,Hotel Karnal,https://www.google.com/search?q=Hotel+Karnal+Karnal+hotel+booking,2233,Resort Grand,https://www.google.com/search?q=Resort+Grand+Karnal+hotel+booking,3706,Inn Karnal,https://www.google.com/search?q=Inn+Karnal+Karnal+hotel+booking,6768
5188,Old Chandigarh Art Gallery,Chandigarh,Chandigarh,Museum,"weekend getaway, peaceful, offbeat, scenic, historical, photography",5.52,102530,Sep-May,Pleasant 15-30°C,26.1607,80.6537,100,6448,1-2 days,"Guided tour, Exhibitions, Photography",Partial wheelchair,Chandigarh (CHA),Chandigarh Junction,A beautiful museum destination in Chandigarh,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Varanasi_-_Dashashwamedh_Ghat.jpg/1024px-Varanasi_-_Dashashwamedh_Ghat.jpg,Resort Palace,https://www.google.com/search?q=Resort+Palace+Chandigarh+hotel+booking,1437,Hyatt Chandigarh,https://www.google.com/search?q=Hyatt+Chandigarh+Chandigarh+hotel+booking,2742,Resort Crown,https://www.google.com/search?q=Resort+Crown+Chandigarh+hotel+booking,3845,Radisson Chandigarh,https://www.google.com/search?q=Radisson+Chandigarh+Chandigarh+hotel+booking,6498
5189,Yuksom Hill Station,Yuksom,Sikkim,Hill Station,"spiritual, offbeat, cultural, peaceful, adventure, nature",5.91,234571,Apr-Jun,Pleasant 15-30°C,26.8217,81.417,300,3366,2-3 hrs,"Cable car ride, Trekking, Shopping",Full wheelchair access,Yuksom (YUK),Yuksom Junction,A beautiful hill station destination in Yuksom,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Shimla_India.jpg/1024px-Shimla_India.jpg,ITC Yuksom,https://www.google.com/search?q=ITC+Yuksom+Yuksom+hotel+booking,1347,Hotel Royal,https://www.google.com/search?q=Hotel+Royal+Yuksom+hotel+booking,2324,Inn Lake View,https://www.google.com/search?q=Inn+Lake+View+Yuksom+hotel+booking,3896,Hyatt Yuksom,https://www.google.com/search?q=Hyatt+Yuksom+Yuksom+hotel+booking,6590
5190,Old Rajgir,Rajgir,Bihar,Adventure,"spiritual, photography, peaceful, popular, scenic, weekend getaway",8.89,327659,Oct-Mar,Moderate 18-32°C,22.6874,80.5662,1000,5872,2-3 hrs,"Rafting, Trekking, Camping",Not wheelchair accessible,Rajgir (RAJ),Rajgir Junction,A beautiful adventure destination in Rajgir,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Pangong_tso.jpg/1024px-Pangong_tso.jpg,Hyatt Rajgir,https://www.google.com/search?q=Hyatt+Rajgir+Rajgir+hotel+booking,1973,Lodge Royal,https://www.google.com/search?q=Lodge+Royal+Rajgir+hotel+booking,2945,Oberoi Rajgir,https://www.google.com/search?q=Oberoi+Rajgir+Rajgir+hotel+booking,4347,Hyatt Rajgir,https://www.google.com/search?q=Hyatt+Rajgir+Rajgir+hotel+booking,6327
5191,Old Madhya,Pachmarhi,Madhya Pradesh,Fort,"weekend getaway, spiritual, nature, popular, offbeat, scenic, adventure",7.41,127981,Nov-Feb,Hot 25-45°C,20.4234,77.1817,300,5003,Full day,"Historical tour, Light & sound show, Fort exploration",Partial wheelchair,Pachmarhi (PAC),Pachmarhi Junction,Famous fort destination with rich heritage,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Ranthambhore_National_Park_Tiger.jpg/1024px-Ranthambhore_National_Park_Tiger.jpg,Resort Crown,https://www.google.com/search?q=Resort+Crown+Pachmarhi+hotel+booking,1376,Palace Hotel Crown,https://www.google.com/search?q=Palace+Hotel+Crown+Pachmarhi+hotel+booking,2440,OYO Pachmarhi,https://www.google.com/search?q=OYO+Pachmarhi+Pachmarhi+hotel+booking,4224,Radisson Pachmarhi,https://www.google.com/search?q=Radisson+Pachmarhi+Pachmarhi+hotel+booking,6914
5192,Ranchi Highland,Ranchi,Jharkhand,Hill Station,"spiritual, weekend getaway, cultural, nature, family-friendly, scenic",7.31,102949,Nov-Feb,Warm 20-35°C,25.4968,77.3909,500,6491,2-3 days,"Shopping, Nature walks, Photography",Not wheelchair accessible,Ranchi (RAN),Ranchi Junction,Scenic hill station location perfect for tourists,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Shimla_India.jpg/1024px-Shimla_India.jpg,Taj Ranchi,https://www.google.com/search?q=Taj+Ranchi+Ranchi+hotel+booking,1454,Lemon Tree Ranchi,https://www.google.com/search?q=Lemon+Tree+Ranchi+Ranchi+hotel+booking,2819,Lodge Heritage,https://www.google.com/search?q=Lodge+Heritage+Ranchi+hotel+booking,4229,Resort Heritage,https://www.google.com/search?q=Resort+Heritage+Ranchi+hotel+booking,6880
5193,Majuli Hill Station,Majuli,Assam,Hill Station,"adventure, peaceful, family-friendly, weekend getaway",8.18,125814,Year-round,Humid 25-35°C,26.8436,88.7591,300,2309,1-2 hrs,"Nature walks, Trekking, Photography",Limited wheelchair,Majuli (MAJ),Majuli Junction,Scenic hill station location perfect for tourists,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Darjeeling_WestBengal.jpg/1024px-Darjeeling_WestBengal.jpg,OYO Majuli,https://www.google.com/search?q=OYO+Majuli+Majuli+hotel+booking,1686,Palace Hotel Imperial,https://www.google.com/search?q=Palace+Hotel+Imperial+Majuli+hotel+booking,2313,Oberoi Majuli,https://www.google.com/search?q=Oberoi+Majuli+Majuli+hotel+booking,4156,Lemon Tree Majuli,https://www.google.com/search?q=Lemon+Tree+Majuli+Majuli+hotel+booking,6879
5194,Pachmarhi II,Pachmarhi,Madhya Pradesh,Heritage,"offbeat, peaceful, nature, photography, weekend getaway, adventure, popular",9.31,377377,Nov-Feb,Pleasant 15-30°C,25.9327,76.7217,100,976,3-4 hrs,"Heritage walk, Guided tour, Cultural shows",Partial wheelchair,Pachmarhi (PAC),Pachmarhi Junction,Must-visit heritage spot in Madhya Pradesh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Baga_beach_goa.jpg/1024px-Baga_beach_goa.jpg,Lemon Tree Pachmarhi,https://www.google.com/search?q=Lemon+Tree+Pachmarhi+Pachmarhi+hotel+booking,1317,Lodge Heritage,https://www.google.com/search?q=Lodge+Heritage+Pachmarhi+hotel+booking,2857,Hyatt Pachmarhi,https://www.google.com/search?q=Hyatt+Pachmarhi+Pachmarhi+hotel+booking,4407,Lodge Heritage,https://www.google.com/search?q=Lodge+Heritage+Pachmarhi+hotel+booking,6509
5195,Nagarjuna Sagar Historic Fort,Nagarjuna Sagar,Telangana,Fort,"spiritual, popular, photography, adventure",9.28,34776,Oct-Mar,Warm 20-35°C,15.9445,75.654,100,2370,1-2 days,"Historical tour, Photography, Light & sound show",Partial wheelchair,Hyderabad (HYD),Nagarjuna Sagar Junction,Must-visit fort spot in Telangana,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Jaisalmer_fort.jpg/1024px-Jaisalmer_fort.jpg,ITC Nagarjuna Sagar,https://www.google.com/search?q=ITC+Nagarjuna+Sagar+Nagarjuna+Sagar+hotel+booking,1643,Heritage Hotel Royal,https://www.google.com/search?q=Heritage+Hotel+Royal+Nagarjuna+Sagar+hotel+booking,2387,Resort Nagarjuna Sagar,https://www.google.com/search?q=Resort+Nagarjuna+Sagar+Nagarjuna+Sagar+hotel+booking,4165,Lemon Tree Nagarjuna Sagar,https://www.google.com/search?q=Lemon+Tree+Nagarjuna+Sagar+Nagarjuna+Sagar+hotel+booking,6829
5196,Andaman,Baratang,Andaman and Nicobar Islands,Lake,"spiritual, cultural, popular, scenic, photography, peaceful",8.14,88283,Year-round,Humid 25-35°C,23.4901,78.2499,200,6636,Full day,"Bird watching, Picnic, Photography",Wheelchair accessible,Baratang (BAR),Baratang Junction,Popular lake attraction offering great experiences,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Radhanagar_Beach_Havelock.jpg/1024px-Radhanagar_Beach_Havelock.jpg,Marriott Baratang,https://www.google.com/search?q=Marriott+Baratang+Baratang+hotel+booking,1932,Inn Crown,https://www.google.com/search?q=Inn+Crown+Baratang+hotel+booking,2520,Resort Crown,https://www.google.com/search?q=Resort+Crown+Baratang+hotel+booking,4001,OYO Baratang,https://www.google.com/search?q=OYO+Baratang+Baratang+hotel+booking,6375
5197,Trichy Cave,Trichy,Tamil Nadu,Cave,"peaceful, weekend getaway, adventure, spiritual, popular, cultural",7.44,227257,Sep-May,Humid 25-35°C,15.2405,76.5851,300,1002,3-4 hrs,"Photography, Cave exploration, Rock climbing",Full wheelchair access,Chennai (MAA),Trichy Junction,Must-visit cave spot in Tamil Nadu,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Badami_Cave_Temples.jpg/1024px-Badami_Cave_Temples.jpg,Hotel Palace,https://www.google.com/search?q=Hotel+Palace+Trichy+hotel+booking,1702,OYO Trichy,https://www.google.com/search?q=OYO+Trichy+Trichy+hotel+booking,2453,Boutique Hotel Lake View,https://www.google.com/search?q=Boutique+Hotel+Lake+View+Trichy+hotel+booking,4447,OYO Trichy,https://www.google.com/search?q=OYO+Trichy+Trichy+hotel+booking,6279
5198,Imphal Temple,Imphal,Manipur,Temple,"cultural, popular, spiritual, scenic, historical, nature",6.35,173117,Sep-May,Humid 25-35°C,26.4713,92.6848,150,2361,3-4 hrs,"Photography, Prayer, Religious ceremonies",Limited wheelchair,Imphal (IMP),Imphal Junction,Famous temple destination with rich heritage,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Virupaksha_Temple_at_Hampi.jpg/1024px-Virupaksha_Temple_at_Hampi.jpg,Resort Crown,https://www.google.com/search?q=Resort+Crown+Imphal+hotel+booking,1377,Taj Imphal,https://www.google.com/search?q=Taj+Imphal+Imphal+hotel+booking,2494,Inn Palace,https://www.google.com/search?q=Inn+Palace+Imphal+hotel+booking,4020,Heritage Hotel Imphal,https://www.google.com/search?q=Heritage+Hotel+Imphal+Imphal+hotel+booking,6851
5199,Raja Jharkhand,Giridih,Jharkhand,Adventure,"nature, family-friendly, spiritual, offbeat",8.02,290229,Year-round,Moderate 18-32°C,22.3846,75.6011,100,4312,1-2 days,"Camping, Paragliding, Rock climbing",Not wheelchair accessible,Giridih (GIR),Giridih Junction,Must-visit adventure spot in Jharkhand,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Manali_Himachal_Pradesh.jpg/1024px-Manali_Himachal_Pradesh.jpg,Inn Giridih,https://www.google.com/search?q=Inn+Giridih+Giridih+hotel+booking,1337,Lodge Giridih,https://www.google.com/search?q=Lodge+Giridih+Giridih+hotel+booking,2786,Hotel Royal,https://www.google.com/search?q=Hotel+Royal+Giridih+hotel+booking,3848,Taj Giridih,https://www.google.com/search?q=Taj+Giridih+Giridih+hotel+booking,6396
5200,Andhra,Anantapur,Andhra Pradesh,Garden,"cultural, peaceful, adventure, popular, photography",8.74,400448,Sep-May,Humid 25-35°C,13.2826,77.8379,0,1939,3-4 hrs,"Picnic, Leisure, Photography",Wheelchair accessible,Anantapur (ANA),Anantapur Junction,Scenic garden location perfect for tourists,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Baga_beach_goa.jpg/1024px-Baga_beach_goa.jpg,Resort Palace,https://www.google.com/search?q=Resort+Palace+Anantapur+hotel+booking,1249,Treebo Anantapur,https://www.google.com/search?q=Treebo+Anantapur+Anantapur+hotel+booking,2674,Hotel Royal,https://www.google.com/search?q=Hotel+Royal+Anantapur+hotel+booking,4352,Hotel Imperial,https://www.google.com/search?q=Hotel+Imperial+Anantapur+hotel+booking,6399
5201,Old Assam,Majuli,Assam,Beach,"cultural, historical, peaceful, popular, photography, spiritual, adventure, family-friendly",6.75,275434,Oct-Mar,Moderate 18-32°C,22.3447,90.1853,50,3476,1-2 days,"Water sports, Surfing, Swimming",Partial wheelchair,Majuli (MAJ),Majuli Junction,Scenic beach location perfect for tourists,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Puri_beach_Odisha.jpg/1024px-Puri_beach_Odisha.jpg,Palace Hotel Crown,https://www.google.com/search?q=Palace+Hotel+Crown+Majuli+hotel+booking,1263,Hyatt Majuli,https://www.google.com/search?q=Hyatt+Majuli+Majuli+hotel+booking,2579,Boutique Hotel Heritage,https://www.google.com/search?q=Boutique+Hotel+Heritage+Majuli+hotel+booking,3865,Palace Hotel Grand,https://www.google.com/search?q=Palace+Hotel+Grand+Majuli+hotel+booking,6252
5202,Nubra Valley Rock Caves,Nubra Valley,Ladakh,Cave,"spiritual, scenic, peaceful, weekend getaway, historical, family-friendly, nature",7.47,106250,Apr-Jun,Cold 0-15°C,31.1201,79.1229,1000,7415,4-5 hrs,"Rock climbing, Photography, Cave exploration",Wheelchair accessible,Nubra Valley (NUB),Nubra Valley Junction,Must-visit cave spot in Ladakh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Elephanta_caves.jpg/1024px-Elephanta_caves.jpg,Hotel Imperial,https://www.google.com/search?q=Hotel+Imperial+Nubra+Valley+hotel+booking,1491,Palace Hotel Royal,https://www.google.com/search?q=Palace+Hotel+Royal+Nubra+Valley+hotel+booking,2642,Heritage Hotel Heritage,https://www.google.com/search?q=Heritage+Hotel+Heritage+Nubra+Valley+hotel+booking,3977,Lemon Tree Nubra Valley,https://www.google.com/search?q=Lemon+Tree+Nubra+Valley+Nubra+Valley+hotel+booking,6343
5203,Royal Meerut Ancient Fort,Meerut,Uttar Pradesh,Fort,"historical, cultural, adventure, peaceful, nature",7.15,346047,Nov-Feb,Pleasant 15-30°C,22.7549,81.6198,100,7931,3-4 hrs,"Historical tour, Light & sound show, Photography",Full wheelchair access,Lucknow (LKO),Meerut Junction,A beautiful fort destination in Meerut,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Kumbhalgarh_Fort_Rajasthan_India.jpg/1024px-Kumbhalgarh_Fort_Rajasthan_India.jpg,Taj Meerut,https://www.google.com/search?q=Taj+Meerut+Meerut+hotel+booking,1881,Lemon Tree Meerut,https://www.google.com/search?q=Lemon+Tree+Meerut+Meerut+hotel+booking,2530,Inn Grand,https://www.google.com/search?q=Inn+Grand+Meerut+hotel+booking,3835,Hyatt Meerut,https://www.google.com/search?q=Hyatt+Meerut+Meerut+hotel+booking,6456
5204,Majuli Beach,Majuli,Assam,Beach,"peaceful, adventure, photography, historical",7.14,391596,Year-round,Warm 20-35°C,24.38,85.1074,20,6608,3-4 hrs,"Beach volleyball, Water sports, Surfing",Wheelchair accessible,Majuli (MAJ),Majuli Junction,Popular beach attraction offering great experiences,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Diu_beach_Gujarat.jpg/1024px-Diu_beach_Gujarat.jpg,Radisson Majuli,https://www.google.com/search?q=Radisson+Majuli+Majuli+hotel+booking,1694,Resort Grand,https://www.google.com/search?q=Resort+Grand+Majuli+hotel+booking,2510,Resort Palace,https://www.google.com/search?q=Resort+Palace+Majuli+hotel+booking,4268,Boutique Hotel Majuli,https://www.google.com/search?q=Boutique+Hotel+Majuli+Majuli+hotel+booking,6260
5205,Pangong Lake Palace Fort I,Pangong Lake,Ladakh,Fort,"photography, historical, scenic, adventure, peaceful, popular, nature, family-friendly",7.8,205417,May-Oct,Cool 5-20°C,32.6997,75.0561,150,2057,2-3 days,"Historical tour, Fort exploration, Light & sound show",Full wheelchair access,Pangong Lake (PAN),Pangong Lake Junction,Scenic fort location perfect for tourists,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Pangong_tso.jpg/1024px-Pangong_tso.jpg,Taj Pangong Lake,https://www.google.com/search?q=Taj+Pangong+Lake+Pangong+Lake+hotel+booking,1781,Inn Imperial,https://www.google.com/search?q=Inn+Imperial+Pangong+Lake+hotel+booking,2257,Palace Hotel Palace,https://www.google.com/search?q=Palace+Hotel+Palace+Pangong+Lake+hotel+booking,4048,Lemon Tree Pangong Lake,https://www.google.com/search?q=Lemon+Tree+Pangong+Lake+Pangong+Lake+hotel+booking,6445
5206,Patna,Patna,Bihar,Beach,"scenic, cultural, adventure, peaceful, nature",6.53,48412,Oct-Mar,Moderate 18-32°C,20.1956,75.1019,100,6370,2-3 hrs,"Surfing, Swimming, Beach volleyball",Partial wheelchair,Patna (PAT),Patna Junction,Must-visit beach spot in Bihar,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Gokarna_Beach_Karnataka.jpg/1024px-Gokarna_Beach_Karnataka.jpg,OYO Patna,https://www.google.com/search?q=OYO+Patna+Patna+hotel+booking,1870,Resort Imperial,https://www.google.com/search?q=Resort+Imperial+Patna+hotel+booking,2504,Radisson Patna,https://www.google.com/search?q=Radisson+Patna+Patna+hotel+booking,4368,Hotel Heritage,https://www.google.com/search?q=Hotel+Heritage+Patna+hotel+booking,6358
5207,Madhya I,Pachmarhi,Madhya Pradesh,Hill Station,"scenic, peaceful, photography, cultural, weekend getaway, adventure",7.03,91527,Oct-Mar,Pleasant 15-30°C,24.5779,75.0839,100,4558,4-5 hrs,"Trekking, Nature walks, Photography",Not wheelchair accessible,Pachmarhi (PAC),Pachmarhi Junction,Famous hill station destination with rich heritage,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mysore_Palace_Morning.jpg/1024px-Mysore_Palace_Morning.jpg,Lodge Heritage,https://www.google.com/search?q=Lodge+Heritage+Pachmarhi+hotel+booking,1257,Boutique Hotel Royal,https://www.google.com/search?q=Boutique+Hotel+Royal+Pachmarhi+hotel+booking,2845,Lodge Palace,https://www.google.com/search?q=Lodge+Palace+Pachmarhi+hotel+booking,4181,Lodge Heritage,https://www.google.com/search?q=Lodge+Heritage+Pachmarhi+hotel+booking,6749
